1.267,1.095	94.545,0.016	0.019,104.164	1.452,104.164
93.313,0.177	0.022,97.860
2.506,0.013	91.318,0.013	0.649,0.683	0.649,32.437
3.988,0.020	381.513,0.020	0.043,77.233
3.289,0.085	164.812,0.085	3.289,3.986	164.812,3.986	0.061,231.984
3.838,1.761	126.030,0.027	0.080,72.329
46.615,0.008	1.615,9.785
71.123,0.090	0.022,5.562	0.022,175.658
109.568,0.005	0.347,30.907
1.262,1.932	91.698,0.039	0.128,103.464
470.491,0.025	0.065,144.932
0.002,0.691	0.002,62.339
255.027,0.012	255.027,1.104	0.027,78.339
0.230,0.307	14.596,0.004	0.004,19.317
59.175,0.004	0.027,0.382	1.847,0.382	0.027,28.963	1.847,28.963
19.636,0.473	0.005,241.616
4.787,2.666	306.812,0.437	0.098,103.224
109.414,0.084	109.414,2.774	0.120,65.040
91.180,0.010	0.209,31.806	2.568,31.806
14.990,0.159	0.184,177.552	7.595,11.393
121.120,0.016	0.041,113.415
222.444,0.012	222.444,1.123	0.039,89.795	2.488,89.795
41.705,0.019	41.705,1.427	0.041,118.966
79.452,0.069	0.100,523.328
68.870,0.159	0.008,523.643
278.069,0.094	0.219,362.651
1.616,5.604	28.075,0.085	0.025,395.762
263.265,0.267	0.295,102.586	5.303,23.384
13.255,0.035	0.009,104.484
0.171,1.909	0.004,83.031
125.000,0.578	0.310,387.233
222.444,0.028	0.188,89.795	5.878,89.795
0.828,235.392	13.359,17.170
125.043,0.682	125.043,2.271	0.538,109.169
1.041,0.232	40.148,0.002	0.033,19.736
189.753,0.009	0.117,59.619
0.143,1.116	14.049,0.017	0.002,37.470
58.672,0.063	0.054,117.540
44.766,0.430	0.042,376.954
86.700,0.194	0.015,416.997
0.086,235.270
62.255,0.350	0.496,40.564
64.084,0.043	0.063,173.480
3.030,0.608	110.425,0.017	0.033,55.381
170.836,0.155	0.197,576.839	5.349,576.839
155.357,0.187	0.031,64.012	1.971,64.012
313.887,0.069	0.253,67.128	4.967,67.128
1.168,0.030	112.373,0.030	0.016,85.690
26.179,0.096	0.040,184.456
0.018,91.136
19.560,0.018	19.560,1.773	0.003,171.761
306.226,0.017	0.055,87.016	3.949,87.016
0.286,1.768	23.646,0.091	0.010,169.330
1.027,4.609	73.526,0.397	0.011,91.047
73.246,0.207	0.011,719.751
4.333,0.069	95.671,0.069	0.412,83.975
0.013,205.498
0.017,427.450
0.824,1.732	42.605,0.021	0.034,137.552
79.563,0.008	79.563,0.790	0.009,54.172
1.321,4.744	113.254,0.163	0.031,352.648	2.682,352.648
234.673,0.160	0.128,179.576
1.090,1.766	102.864,0.059	0.048,28.041
1.117,0.757	106.314,0.019	0.036,41.902	3.412,41.902
210.265,0.134	210.265,5.709	0.481,418.708
5.864,1.033	152.005,0.045	0.339,43.711
0.155,2.845	10.944,0.134	0.002,73.168
197.966,0.003	1.970,21.888
121.171,0.099	0.554,4.995	0.554,197.622
80.493,0.080	0.032,113.862
145.740,0.037	0.121,8.046
151.609,0.047	0.258,70.192
2.307,1.014	180.752,0.011	0.264,99.322
0.133,0.998	11.654,0.012	0.041,98.111
285.697,0.765	2.390,857.794	71.740,12.682
101.447,0.008	1.013,50.633
123.024,0.003
77.347,0.189	77.347,2.665	0.086,151.213
16.127,0.064	0.007,1.118	0.007,100.625
115.643,0.066	115.643,1.253	0.039,44.897
1.140,0.016	34.389,0.016	1.140,1.492	34.389,1.492	0.050,81.532
0.156,1.585	0.002,98.892
2.715,0.903	211.846,0.012	0.065,67.863
65.943,0.060	65.943,2.522	0.018,200.127
162.048,0.009	0.051,51.434	1.771,51.434
98.841,0.210	0.151,288.945	4.038,288.945
0.003,167.892
140.652,0.141	0.036,59.178
0.659,1.634	23.231,0.035	0.022,75.793
0.034,389.003
0.664,0.627	50.666,0.027	0.026,43.999
438.369,0.033	0.252,2.987	0.252,162.183
6.327,2.917	0.184,68.155
0.406,0.246	20.142,0.004	0.011,12.025
13.190,0.276	0.016,0.724	0.016,39.675
2.068,1.513	31.925,0.098	31.925,8.926	0.031,137.801
31.920,0.065	0.048,50.825
116.371,0.058	0.050,133.007
152.073,0.029	0.167,69.323
1.819,0.036	13.980,0.036	1.819,1.798	13.980,1.798	0.019,85.431
7.719,1.279	190.645,0.043	0.089,98.242
418.994,0.026	0.157,158.884
1.414,0.171	34.857,0.024	0.090,9.582
415.007,0.016	0.216,48.905
3.586,0.956	51.984,0.015	0.513,46.366	7.444,46.366
122.270,0.399	0.076,97.051	4.256,97.051
1.787,0.009	77.089,0.009	0.047,21.406
170.744,0.189	0.155,538.591
59.748,0.215	0.045,771.383
20.806,0.011	0.015,0.832	0.015,77.636
0.963,1.298	78.524,0.205	0.017,91.432
0.697,2.559	54.914,0.100	0.007,100.132
496.846,0.188
600.026,0.014	0.119,33.261
3.883,0.052	128.793,0.052	0.143,54.011
0.760,0.445	46.234,0.005	0.136,23.721
141.158,0.079	0.019,4.058	0.019,273.348
0.851,1.119	84.630,0.017	0.025,83.559
194.191,0.013	0.074,60.855	3.355,60.855
1.012,0.621	67.277,0.007	0.050,27.610
74.314,1.585	0.019,302.480	1.790,302.480
6.823,0.537	241.000,0.014	0.077,32.115
121.386,0.101	0.023,3.521	0.023,166.326
0.620,1.101	23.408,0.014	0.090,105.571
72.919,0.074	0.009,73.833	0.757,73.833
2.335,1.816	83.985,0.103	0.047,12.827
93.853,0.056	0.050,1.192	0.050,118.622	1.668,5.603
90.841,0.063	0.030,3.385	0.030,90.715
0.931,0.603	28.924,0.007	0.022,40.173
0.242,0.158	23.799,0.009	0.003,13.896
109.184,0.553	109.184,5.337	0.017,90.272
2.865,0.027	70.884,0.027	0.040,121.958
0.390,1.360	25.451,0.027	0.009,107.991
106.061,0.014	0.049,44.023	1.364,44.023
259.844,0.261	0.524,69.983	13.228,17.430
79.262,0.243	79.262,6.876	0.017,67.946
3.328,0.640	107.414,0.008	0.103,11.496
306.082,0.035	0.057,42.218
0.894,0.005	82.898,0.005	0.053,30.417
78.457,0.040	0.039,1.812	0.039,86.825
10.802,0.016	0.008,1.091	0.008,106.012
283.380,0.385	0.074,630.085	7.136,630.085
76.492,0.068	76.492,2.119	0.125,88.550
77.565,0.044	0.053,87.259
2.254,0.900	29.108,0.900	0.161,479.793
0.340,0.868	0.010,52.648
155.098,0.026	1.154,146.005
0.120,0.719	0.002,52.648
0.174,0.471	16.451,0.005	0.007,43.852
103.645,0.045	2.182,187.515
138.728,0.015
173.361,0.317	0.041,181.459
0.289,1.074	0.003,100.176
0.034,0.545	2.601,0.545	0.000,18.525
4.229,0.010	390.358,0.010	0.090,78.239
0.185,0.480	17.189,0.006	0.035,42.983
108.623,0.119	0.071,150.403
0.323,0.490	27.610,0.025	0.011,34.808
4.817,0.794	102.662,0.010	0.058,75.652
170.371,0.043	0.554,336.980
24.430,0.121	0.004,46.812
0.034,77.312
0.853,1.407	85.022,0.018	0.010,91.796
103.473,0.009	103.473,0.877	0.238,72.018	6.453,72.018
6.851,0.054	6.851,5.231	0.001,350.327
0.269,0.257	18.463,0.003	0.269,6.838
144.969,0.248	0.048,268.337
136.526,0.292	0.018,535.375
0.489,0.923	27.968,0.021	0.005,76.093
1.584,1.861	133.393,1.861	0.017,173.218
5.876,0.092	105.033,0.092	0.065,193.905
90.254,0.081	0.364,7.438	0.364,462.726
118.815,0.057	0.296,100.512	1.884,100.512
578.999,0.021	0.111,72.998	7.822,72.998
242.733,0.014	0.072,74.134	4.997,74.134
0.142,109.808
1.343,0.003	116.169,0.003
156.402,0.011	0.118,28.272
0.035,124.122
0.025,473.530
0.048,247.906
7.646,0.012	73.238,0.012	7.646,1.072	73.238,1.072	0.112,74.120
4.413,0.034	62.049,0.034	0.056,14.868
0.507,1.142	42.054,0.093	0.030,112.780
474.988,0.259	0.071,7.489	4.926,7.489	0.071,586.947	4.926,586.947
236.681,0.078	236.681,5.863	0.638,198.530
0.413,1.423	33.832,0.037	0.006,105.442
1.522,4.983	145.858,0.110	0.020,302.147
0.865,0.765	51.697,0.206	0.057,49.483
650.297,0.124	0.357,41.588
37.807,1.462	0.020,468.183
2.587,0.178	155.744,0.003	0.039,10.559
74.294,3.296	5.822,42.054	28.713,16.253
41.410,0.031	0.012,2.437	0.012,167.693
0.196,1.104	16.352,0.014	0.002,65.929
44.189,0.078	44.189,2.953	0.023,101.137
0.625,0.034	33.469,0.034	0.019,81.587
2.557,0.320	198.105,0.004	0.036,9.044
1.221,0.854	78.417,0.010	0.034,32.582
40.972,0.040	0.017,1.510	0.017,77.161
2.358,1.617	144.848,0.023	0.063,93.721
115.681,0.099	0.102,8.479	0.102,54.946
381.586,0.120	381.586,3.513	0.712,100.327
23.325,0.105	23.325,4.943	0.003,296.707
96.137,0.016	0.216,47.580	4.965,47.580
487.249,0.009
3.051,1.515	62.843,0.052	0.036,119.671
0.299,1.861	26.182,0.031	0.004,38.630
1.786,1.478	15.245,0.041	0.028,62.054
230.340,0.097	48.707,8.356
2.555,0.113	75.530,0.113
98.461,0.025	0.015,76.987	1.164,76.987
0.732,0.330	64.825,0.005	0.021,13.893	1.890,13.893
45.098,0.121	0.244,629.689
10.682,0.026	0.009,0.630	0.009,60.280
143.155,0.238	143.155,3.439
103.110,0.106	0.012,9.753	0.012,300.239
0.703,0.463	69.942,0.009	0.026,22.913	2.559,22.913
13.187,0.069	0.030,51.565
10.336,0.325	0.005,379.353
29.104,0.046	0.042,1.881	0.042,104.812
1.187,0.667	105.055,0.007	0.013,62.684
1.380,1.570	17.116,0.055	0.029,101.768
0.312,0.391	19.792,0.009	0.004,31.465
1.384,2.200	130.657,0.027	0.020,159.914
1.950,2.986	92.921,0.040	0.150,117.248
83.922,0.019	0.303,100.872	3.125,100.872
3.811,0.058	231.303,0.058	0.071,4.992	0.071,294.144
212.334,0.356	0.039,70.099
10.222,0.068	0.003,93.705
2.245,0.478	201.947,0.007	0.028,35.411
123.546,0.061	0.327,18.731	6.217,18.731
166.078,0.027	0.121,32.208
329.552,0.005
223.301,0.023	0.037,1.331	0.037,88.101
0.422,2.479	25.633,0.027	0.005,66.816
3.357,0.361	112.166,0.007	0.767,26.738
3.955,2.186	64.230,0.044	64.230,3.488	0.051,174.903
62.575,0.049	0.027,242.138
1.881,1.325	10.222,0.013	0.028,93.705
1.841,0.262	150.689,0.003	0.021,11.515
57.399,0.026	0.071,108.294
111.095,0.216	0.057,199.898
0.780,2.668	51.224,0.034	0.008,100.944
3.296,0.002	82.847,0.002
172.216,0.078	0.018,4.616	0.018,95.854
4.023,0.517	150.202,0.011	0.044,25.289
66.251,0.196	66.251,4.134	0.019,95.035
2.927,0.072	58.327,0.072	2.927,3.266	58.327,3.266	0.038,178.004
120.404,0.133	0.037,99.950
1.895,5.702	73.962,0.448	0.068,108.601
0.003,142.554
435.343,0.103	435.343,5.928	0.082,126.325
136.867,0.170	2.494,6.849	36.340,6.849
82.998,0.128	82.998,4.890	0.030,158.557	1.098,158.557
0.379,0.091	15.628,0.091	0.017,124.744
76.806,0.088	0.016,6.498	0.880,6.498	0.016,119.137	0.880,119.137
48.457,0.016	0.025,58.495
147.245,0.076	0.056,92.983
0.660,1.209	36.517,0.026	0.007,55.344
0.224,1.502	15.043,0.029	0.004,69.731
1.919,0.577	166.227,0.008	0.021,56.342
204.708,0.079	0.036,4.518	0.036,140.377
44.136,0.017	0.013,1.003	0.013,81.119
0.561,2.286	48.050,0.024	0.027,55.362
187.291,0.015	0.429,106.098
3.151,0.077	269.789,0.077	0.258,4.077	0.258,291.209
56.300,0.084	0.008,3.483	0.008,141.653
0.421,0.271	28.674,0.014	0.031,21.847
6.747,1.969	0.001,136.920
1.006,1.004	79.758,0.065	0.030,31.552
0.584,3.502	43.285,0.035	0.011,144.617
0.453,5.758	11.498,0.626	0.012,286.975
73.833,0.005	0.039,14.176
0.530,0.013	30.190,0.013	0.530,1.023	30.190,1.023	0.007,59.384
309.141,0.196	0.117,159.514
0.280,3.132	23.337,0.047	0.003,91.837
0.083,1.332	7.272,0.020	0.002,78.491
243.400,0.945	0.118,112.450
6.600,0.676	0.009,503.923
1.599,0.003	85.198,0.003	0.020,21.762
3.349,1.189	172.252,0.018	0.080,100.492
2.840,0.838	154.876,0.015	0.090,54.603
601.020,0.017	0.218,74.877
0.422,2.844	31.370,0.059	0.016,73.469
63.720,0.005	0.010,0.426	0.010,27.608
69.294,0.004	0.235,16.474	3.524,16.474
2.379,3.464	92.937,0.109	0.056,57.663
0.088,2.907	0.017,137.955
15.578,0.047	15.578,0.951	0.025,77.595
617.497,0.021	0.239,102.053	6.524,102.053
0.923,3.371	23.252,0.134	0.031,100.599
3.033,4.548	155.890,0.081	0.035,169.054
0.012,53.265
0.923,2.041	23.252,0.068	0.031,100.599
8.010,0.056	163.495,0.056	8.010,3.767	163.495,3.767	0.092,19.857
0.548,1.530	24.486,0.057	0.007,149.464
0.074,88.896
0.385,3.557	27.326,0.073	0.004,87.405
5.611,0.015	179.789,0.015	0.095,31.451
2.148,0.037	53.245,0.037	0.025,133.978
0.482,0.728	41.552,0.010	0.022,55.104
3.616,0.396	209.164,0.004	0.046,31.855
0.310,1.324	26.839,0.036	0.012,116.523
4.024,0.017	136.517,0.017	0.086,12.619
28.045,0.044	0.009,39.557
298.315,0.039	0.067,1.346	0.067,85.389
14.335,0.128	0.008,96.592
2.439,1.755	78.370,0.023	0.169,118.250
7.836,0.020	73.926,0.020	1.142,26.689
0.001,2.222	0.001,137.687
48.858,0.054	48.858,2.077	0.007,144.102
2.069,0.247	99.381,0.003	0.027,17.165
13.938,1.113	0.173,183.643
0.162,0.413	14.595,0.024	0.003,15.649
4.874,0.020	72.252,0.020	0.794,125.046
42.223,0.274	0.020,340.523
3.247,0.006	114.073,0.006	0.037,55.876
209.778,0.030
0.634,1.074	38.979,0.027	0.023,71.161
31.161,0.062	0.004,4.996	0.004,436.663
1.625,2.903	104.034,0.845	0.032,221.292
563.530,0.014	1.052,11.847
78.042,0.052	0.111,71.806
85.336,0.073	0.775,104.256
0.324,0.599	15.977,0.013	0.009,24.487
9.154,0.026	158.202,0.026	0.281,93.522
1.027,0.944	96.433,0.013	0.013,93.341
202.096,0.554	0.719,105.214	4.934,105.214
62.470,0.092	0.106,10.188	1.694,10.188
93.554,0.094	0.366,9.946
454.846,0.028	0.690,213.168
1.306,0.541	72.094,0.058	72.094,5.056	0.014,47.191
170.520,3.985	0.279,31.706	6.417,7.949
152.888,0.079
0.559,0.493	44.260,0.007	0.024,34.452
1.329,0.667	101.684,0.019	101.684,1.615	0.026,56.876	2.013,56.876
36.145,0.067	0.010,6.708	0.010,175.137
127.740,0.023	0.165,42.134
42.373,0.025	42.373,2.409	0.007,120.680
3.031,0.004	44.844,0.004
4.134,0.003	151.842,0.003
73.379,0.052	0.047,50.939
0.009,100.935
233.191,0.009	233.191,0.590	6.295,12.663
0.654,0.347	28.238,0.004	0.162,28.868
1.950,1.156	142.393,0.022	0.042,95.719	3.044,95.719
1.566,2.892	114.769,0.037	0.200,186.260
345.703,0.123	0.826,221.626
0.002,415.664
100.806,0.028	0.721,2.348	0.721,134.451
232.516,0.030	0.271,2.588	3.873,2.588	0.271,132.728	3.873,132.728
1.663,0.028	151.377,0.028	1.663,1.579	151.377,1.579	0.021,118.628
90.357,0.225	90.357,6.451	0.031,363.910
389.318,0.079	0.136,103.371	6.441,7.019
184.291,0.606	0.071,115.171	3.109,115.171
205.145,0.005	0.337,11.735
0.109,3.147	9.173,0.199	0.001,155.934
0.789,1.994	71.295,0.049	0.010,94.397
60.537,0.303	0.114,416.129
225.622,0.516	0.029,98.919	2.480,98.919
1.390,2.604	79.258,0.035	0.026,140.280
213.142,0.052	213.142,3.598	0.144,93.996	3.231,93.996
27.066,0.235	0.016,159.285
2.616,0.710	75.829,0.031	0.060,24.321
5.580,0.064	404.084,0.064	0.060,4.505	0.060,88.135
85.521,0.031	0.045,108.932
48.390,0.468	0.014,4.537	0.014,82.314
1.826,0.640	167.814,0.021	0.078,43.653
230.135,0.029	0.812,206.169
2.243,1.188	117.332,0.031	0.084,100.933
0.082,440.128
119.942,0.048	0.044,1.503	0.044,55.272
58.669,0.450	58.669,1.228	0.078,115.448	4.514,115.448
143.238,0.109	0.046,0.465	0.046,39.029
0.298,1.244	23.634,0.044	0.024,40.071
111.176,0.361	0.059,98.252
82.619,0.029
1.364,0.009	112.188,0.009	0.038,14.233
0.187,1.066	15.964,0.014	0.016,51.251
68.427,0.046	68.427,2.640	0.010,166.550
4.318,0.403	70.402,0.006	0.078,31.988
0.472,0.055	46.613,0.002	0.472,4.627
112.871,0.462	0.016,728.345
0.029,2.165	0.000,86.679
3.147,0.573	111.084,0.007	0.032,27.477
0.561,0.440	46.968,0.004	0.012,32.479
2.583,0.228	82.561,0.004	0.042,15.685
97.998,0.035	0.249,157.227	1.752,157.227
77.207,0.053	0.061,166.235	1.289,166.235
2.453,0.196	230.948,0.009	0.025,11.302
454.030,0.010	0.623,41.240
0.269,5.124	15.226,0.055	0.004,82.571
2.838,0.728	140.125,0.012	0.622,9.777
1.605,0.865	109.188,0.031	0.018,75.835
51.402,2.673	0.012,62.033
1.003,3.177	39.655,0.060	0.030,130.039
116.928,0.086	0.019,2.468	0.019,173.510
390.052,0.499	0.052,131.416
1.425,0.257	139.858,0.257	0.066,107.611
59.635,0.178	59.635,4.134	0.157,106.827
0.513,0.750	20.414,0.016	0.022,68.561
2.337,0.043	109.942,0.000
0.005,2.947	0.005,62.697
1.441,1.666	23.953,0.028	0.017,112.740
13.587,0.011	0.005,1.108	0.005,99.940
218.946,0.075	0.116,199.032
3.495,1.339	94.883,1.339	0.049,411.412
1.786,2.419	62.792,0.035	0.055,155.187
0.016,552.741
46.245,0.156	0.070,103.583
440.014,0.416	0.292,91.244	11.218,9.398
104.948,0.009	0.066,24.559	4.477,24.559
155.233,0.078
94.666,0.292	0.030,63.938	1.584,63.938
0.017,6.240	0.017,50.972
0.265,1.053	17.468,0.024	0.003,85.648
3.357,0.560	52.529,0.013	0.038,17.957
52.599,0.019	1.042,155.836
1.697,0.663	119.322,0.060	0.040,37.280	2.796,37.280
69.826,0.074	69.826,5.739	0.030,46.770	1.381,46.770
1.806,4.145	110.037,0.097	0.039,71.658
254.032,0.037	0.730,132.898
34.658,0.179	0.055,216.994
1.858,0.194	60.916,0.003	0.040,12.033
6.165,0.002	102.057,0.002	0.233,9.137
359.042,0.006
2.223,0.050	118.761,0.050	0.225,27.043
28.869,0.060	0.021,104.918
226.931,0.060	0.151,130.595
0.299,3.675	21.021,0.050	0.008,95.155
2.345,4.553	127.903,0.548	127.903,6.861	0.028,56.968
104.436,0.039	0.040,3.732	0.040,359.963
14.432,0.112	0.020,2.690	0.020,102.515
0.063,0.993	0.002,97.321
0.843,0.483	75.379,0.005	0.034,39.756
0.802,1.605	60.295,0.022	0.020,133.095
71.819,0.038	0.028,63.843
7.726,0.108	0.015,429.010
74.432,0.245	74.432,3.613	0.034,196.927
0.054,285.424	4.888,124.903
2.585,0.058	72.052,0.058	2.585,2.799	72.052,2.799	0.029,130.072
6.678,0.046	505.317,0.046	0.139,110.449
24.306,0.031	2.057,2.142	2.057,212.475
0.055,4.511	5.316,4.511	0.001,185.174
101.448,0.012	0.031,1.121	0.031,107.888
0.776,0.350	70.749,0.018	0.017,30.453
160.521,0.020	0.071,27.432
6.238,0.053	170.344,0.053	0.388,161.086
0.132,1.386	4.062,1.386	0.006,62.852
2.429,0.082	108.703,0.082	0.128,167.436
119.993,0.542	0.041,602.448	1.617,602.448
217.181,0.031	0.069,184.882	6.856,184.882
78.932,0.031	0.012,2.318	0.012,181.907
3.046,0.001	302.212,0.001	0.277,4.116
160.707,0.192	0.061,423.975
78.932,0.032	0.010,181.907	0.871,181.907
109.476,0.060	0.024,3.955	0.024,242.573
115.150,0.816	0.019,265.905
2.436,0.748	72.522,0.009	0.028,70.157
1.178,1.099	28.009,0.011	0.020,109.437
3.819,0.005	122.923,0.005	0.093,34.467
79.941,0.020	0.037,1.626	0.037,126.592
206.235,0.016	0.084,65.513	4.081,65.513
259.771,0.236	0.069,140.424	5.328,140.424
68.510,0.025	0.072,142.639
2.811,1.716	89.684,0.059	0.210,106.768
3.132,0.668	271.633,0.010	0.035,48.142
119.185,1.020	0.016,114.451
56.122,0.002	0.027,6.429
190.845,0.034	0.277,307.540	5.394,3.198
36.687,0.910	0.026,738.966
3.564,1.472	303.157,0.105	303.157,4.330	0.046,60.839
40.250,0.096	0.018,416.001
1.247,0.634	100.899,0.008	0.035,60.778
0.787,1.590	76.842,0.021	0.012,93.654
99.093,0.146	0.355,92.888	5.567,92.888
0.618,2.642	44.977,0.041	0.008,88.585
0.463,2.354	44.977,0.054	0.014,88.585
132.083,0.082	0.025,3.912	0.025,215.682
47.430,0.018	47.430,1.070	0.024,43.462
106.457,0.172	106.457,1.908	0.038,135.184
52.110,0.062	0.133,4.988	0.133,176.354
5.277,0.073	144.798,0.073	0.055,6.163	0.055,31.139
2.151,0.013	21.647,0.013	0.023,98.820
2.391,0.903	63.470,0.903	0.059,87.571
2.423,0.006	229.934,0.006	0.032,20.259
154.115,0.193	0.898,257.771	6.228,257.771
3.500,0.003	229.934,0.003	0.036,20.259
4.933,1.170	75.997,0.024	0.051,54.236
605.114,0.004	0.515,21.369
0.640,0.004	35.282,0.004	0.008,27.642
185.833,0.419	0.083,103.855	2.580,103.855
0.045,6.264	0.045,132.726
39.471,0.227	39.471,3.496	0.136,283.384	6.029,283.384
5.140,1.114	419.386,1.114	0.070,4.429	0.070,309.630
1.848,0.663	148.606,0.008	0.078,36.369
469.968,0.053	0.054,150.891
646.395,0.014	0.570,52.247
69.602,0.029	0.104,59.513	1.476,59.513
0.564,0.696	43.401,0.033	0.101,43.811
311.856,0.051	0.086,2.692	5.425,2.692	0.086,268.492	5.425,268.492
4.520,0.737	84.120,0.020	0.077,37.209
1.906,0.307	167.197,0.008	0.031,26.682
71.808,0.321	0.053,103.265
3.639,0.000	145.290,0.000
81.041,0.018	0.100,47.083	1.113,47.083
393.782,0.266	0.085,485.200
339.757,0.233	1.265,5.605	1.265,117.840
103.002,0.025	0.040,83.818	2.032,83.818
0.217,104.547
62.280,0.045	0.017,106.362	0.920,106.362
59.243,0.049	0.173,69.428	9.892,3.187
2.262,0.016	89.964,0.016	2.262,1.599	89.964,1.599
0.956,2.615	46.392,0.028	0.013,68.251
538.174,0.088	0.596,150.246
73.653,0.086	73.653,3.270	0.009,185.303
261.104,0.019	0.113,65.421	4.094,65.421
6.238,0.034	0.002,0.984	0.002,45.010
28.223,0.020
49.396,0.338	0.013,169.343
82.065,0.018	0.133,76.624
0.582,2.928	19.613,0.128	0.007,122.470
442.507,0.002
64.271,0.155	0.057,361.006	4.632,361.006
199.284,0.049	0.026,4.256	0.026,31.409
0.369,2.381	7.948,0.037	0.065,119.375
679.218,0.001	0.191,8.439
1.350,0.240	77.178,0.041	0.034,22.293
2.884,1.101	120.829,0.011	0.654,104.740
0.174,2.839	12.561,0.045	0.004,283.428
2.391,1.780	115.045,0.128	0.071,171.982
2.534,1.918	104.218,0.027	0.030,75.252
37.399,0.018	0.225,101.319	0.892,101.319
55.730,0.916	29.476,6.506
521.136,0.005	0.594,4.013
82.883,0.060	0.445,2.578	0.445,124.419
100.214,0.073	0.015,6.911	0.015,94.034
5.480,0.023	102.115,0.023	0.074,50.011
2.209,0.015	100.355,0.015	0.075,107.747
83.983,0.271	0.013,169.038
283.700,0.025	0.096,128.299
143.246,0.128	0.038,97.684
2.493,0.008	226.019,0.008	0.048,28.331
298.752,0.052	1.209,3.953	1.209,247.829
75.249,0.036	0.478,261.216
4.419,0.203	0.001,296.193
12.014,0.048	0.017,278.974
12.577,0.031	0.006,142.640
0.820,1.641	77.499,1.641	0.021,119.339
111.446,0.194	17.548,16.967
1.952,1.191	63.532,0.023	0.241,52.576
1.732,0.666	90.208,0.666	0.057,430.766
0.120,0.230	0.002,14.230
180.841,0.307	0.037,363.425
1.277,3.072	79.522,0.049	0.017,217.127
7.408,0.004	118.480,0.004	0.356,21.081
0.296,0.650	15.410,0.007	0.008,25.527
3.332,1.850	247.457,0.033	0.052,31.366
76.675,1.406	0.095,160.276
0.050,0.039	3.920,0.039
102.438,0.258
103.078,0.070	0.036,4.077	0.036,338.640
79.301,0.006	0.454,42.223
4.358,0.054	109.948,0.054	0.853,205.744
2.286,1.087	108.445,0.090	0.044,66.526
409.998,0.141	0.422,136.246
116.493,0.036	0.189,134.740
3.100,0.080	209.129,0.002
2.485,0.029	157.118,0.000
207.356,0.085	3.890,14.278
125.816,0.047	1.528,76.536
78.749,1.782	0.016,710.865
92.319,0.127	1.017,1.747	1.017,103.633	67.747,7.548
779.401,0.028	1.867,128.617
126.683,0.156	0.035,723.181
0.747,3.532	48.979,0.067	0.099,215.594
3.087,0.121	69.550,0.005	0.115,11.404
0.015,292.448
119.466,0.002	0.024,4.926	2.233,4.926
64.590,0.004	0.029,25.880	1.653,25.880
2.317,2.196	124.146,0.078	0.046,117.403	2.470,117.403
7.761,1.002	419.954,1.002	0.129,62.369
96.407,0.139	96.407,1.331	0.075,57.203
231.286,0.030	231.286,1.451	0.059,135.221
354.845,0.096	0.070,88.878	4.466,88.878
260.209,0.037	0.496,226.087	3.194,226.087
160.571,0.062	0.244,142.414
88.438,0.007	0.331,27.919
0.702,0.525	15.613,0.006	0.008,44.477
88.438,0.008	0.184,27.919
4.044,2.043	289.124,0.031	0.061,181.584
4.535,0.006	167.886,0.006	0.087,28.828
182.095,0.073	0.626,6.765	0.626,115.886
0.167,0.790	3.430,0.009	0.013,22.325
87.035,0.008	0.020,38.603	1.457,38.603
199.893,0.002	1.628,4.320
0.915,0.929	40.866,0.009	0.020,56.251
0.193,0.149	9.493,0.004	0.097,13.369
198.825,0.405	0.199,79.300	10.562,8.158
52.139,0.022	3.570,37.193
214.081,0.305	214.081,5.968	0.365,162.016
86.351,0.782	0.022,341.046
0.851,1.170	26.051,0.015	0.024,91.635
1.180,0.104	49.004,0.002	0.208,7.919
342.964,0.020
0.001,2.611	0.001,46.556
0.030,4.278	0.030,416.013
0.458,0.529	22.510,0.055	0.005,49.549
116.835,0.014	0.059,65.663	1.725,65.663
66.746,0.875	0.105,104.486
287.933,0.023	0.365,59.165
2.818,0.099	121.736,0.099	0.033,486.307
2.602,0.073	78.205,0.008	78.205,0.752	0.082,6.562
0.463,0.558	22.012,0.037	0.010,28.228
153.087,0.094	153.087,6.360	0.229,358.952
0.213,0.273	6.290,0.009	0.004,12.657
48.994,0.076	0.064,198.899
173.354,0.053	173.354,2.527	0.039,111.364
1.827,2.343	41.037,0.030	0.021,206.650
3.877,0.225	111.043,0.225	0.048,132.826
192.184,0.004	0.372,29.492
22.444,0.016	0.003,1.196	0.003,87.717
39.770,0.016	0.013,1.599	0.013,40.025
70.631,0.259	0.016,267.634
3.494,0.552	136.885,0.012	0.043,19.531
0.116,2.994	0.001,184.651
35.690,0.024	0.005,1.170	0.005,66.181
1.312,0.016	114.854,0.016	0.036,57.841
99.294,0.651	0.041,458.297	2.416,458.297
0.059,1.270	0.001,60.604
32.721,0.174	0.047,3.382	0.047,216.080
114.001,0.058	0.024,59.755
5.109,0.765	209.204,0.018	0.613,33.961
192.188,0.093	0.043,254.804
95.707,0.034	0.043,2.279	3.891,2.279	0.043,125.802	3.891,125.802
4.470,0.022	124.886,0.022	0.054,40.326
3.064,0.040	122.550,0.040	0.049,122.005
0.380,2.113	35.016,0.033	0.035,85.737
1.870,1.248	43.806,0.017	0.045,109.512
0.024,6.872	2.248,0.115	0.002,335.217
54.744,0.160	54.744,5.326	0.010,105.488
1.262,0.649	54.414,0.007	0.017,25.418
92.805,0.489	0.043,127.663	3.580,127.663
115.119,0.034	115.119,3.138
